	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
5.16	160367	22586.56954
5.14	154602	22586.95098
5.12	148969	22587.3324
5.1	142199	22587.71381
5.08	136227	22588.09521
5.06	130849	22588.47659
5.04	124609	22588.85795
5.02	117865	22589.2393
5	111909	22589.62063
4.98	105594	22590.00195
4.96	99963	22590.38325
4.94	93688	22590.76454
4.92	87917	22591.14581
4.9	82087	22591.52707
4.88	76292	22591.90831
4.86	71205	22592.28954
4.84	66318	22592.67075
4.82	60972	22593.05195
4.8	56463	22593.43313
4.78	52278	22593.8143
4.76	48591	22594.19545
4.74	44915	22594.57658
4.72	41338	22594.9577
4.7	38461	22595.33881
4.68	35999	22595.71989
4.66	33229	22596.10097
4.64	31408	22596.48203
4.62	29311	22596.86307
4.6	27682	22597.2441
4.58	26473	22597.62511
4.56	25379	22598.00611
4.54	24309	22598.38709
4.52	23334	22598.76806
4.5	22517	22599.14901
4.48	22089	22599.52995
4.46	21668	22599.91087
4.44	21295	22600.29177
4.42	20907	22600.67266
4.4	20694	22601.05354
4.38	20484	22601.4344
4.36	20375	22601.81524
4.34	20108	22602.19607
4.32	20222	22602.57689
4.3	20127	22602.95768
4.28	20000	22603.33847
4.26	19886	22603.71924
4.24	20032	22604.09999
4.22	20186	22604.48073
4.2	20368	22604.86145
4.18	20367	22605.24215
4.16	20558	22605.62285
4.14	20980	22606.00352
4.12	21001	22606.38418
4.1	21392	22606.76483
4.08	21437	22607.14546
4.06	21929	22607.52607
4.04	22347	22607.90667
4.02	22698	22608.28726
4	23254	22608.66782
3.98	23669	22609.04838
3.96	24161	22609.42892
3.94	24833	22609.80944
3.92	25329	22610.18995
3.9	26245	22610.57044
3.88	27063	22610.95092
3.86	27704	22611.33138
3.84	28615	22611.71182
3.82	29596	22612.09225
3.8	30497	22612.47267
3.78	31305	22612.85307
3.76	32504	22613.23345
3.74	33524	22613.61382
3.72	34410	22613.99418
3.7	35382	22614.37452
3.68	36077	22614.75484
3.66	37096	22615.13515
3.64	38369	22615.51544
3.62	38999	22615.89572
3.6	39829	22616.27598
3.58	40980	22616.65623
3.56	41152	22617.03646
3.54	41710	22617.41667
3.52	42548	22617.79687
3.5	42814	22618.17706
3.48	43271	22618.55723
3.46	43772	22618.93738
3.44	43903	22619.31752
3.42	44128	22619.69765
3.4	44179	22620.07776
3.38	43750	22620.45785
3.36	43497	22620.83793
3.34	43643	22621.21799
3.32	43026	22621.59804
3.3	42361	22621.97807
3.28	42165	22622.35808
3.26	41543	22622.73808
3.24	40888	22623.11807
3.22	39913	22623.49804
3.2	39353	22623.87799
3.18	38632	22624.25793
3.16	37829	22624.63786
