	XPS_UPS_18Jan2022/Au/Au/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
17.07	443.3333333	22356.75422
17.06	480	22356.94938
17.05	540	22357.14453
17.04	530	22357.33968
17.03	556.6666667	22357.53483
17.02	446.6666667	22357.72997
17.01	483.3333333	22357.92511
17	470	22358.12025
16.99	463.3333333	22358.31538
16.98	500	22358.51051
16.97	493.3333333	22358.70563
16.96	560	22358.90076
16.95	556.6666667	22359.09587
16.94	546.6666667	22359.29099
16.93	500	22359.4861
16.92	546.6666667	22359.68121
16.91	523.3333333	22359.87631
16.9	586.6666667	22360.07141
16.89	606.6666667	22360.26651
16.88	570	22360.4616
16.87	533.3333333	22360.65669
16.86	626.6666667	22360.85177
16.85	586.6666667	22361.04685
16.84	636.6666667	22361.24193
16.83	613.3333333	22361.43701
16.82	663.3333333	22361.63208
16.81	623.3333333	22361.82714
16.8	680	22362.02221
16.79	606.6666667	22362.21727
16.78	650	22362.41232
16.77	626.6666667	22362.60737
16.76	656.6666667	22362.80242
16.75	673.3333333	22362.99747
16.74	656.6666667	22363.19251
16.73	703.3333333	22363.38755
16.72	693.3333333	22363.58258
16.71	713.3333333	22363.77761
16.7	843.3333333	22363.97264
16.69	723.3333333	22364.16766
16.68	780	22364.36268
16.67	850	22364.5577
16.66	826.6666667	22364.75271
16.65	976.6666667	22364.94772
16.64	920	22365.14273
16.63	990	22365.33773
16.62	1033.333333	22365.53273
16.61	1126.666667	22365.72772
16.6	1323.333333	22365.92271
16.59	1456.666667	22366.1177
16.58	1620	22366.31268
16.57	1986.666667	22366.50766
16.56	2580	22366.70264
16.55	2903.333333	22366.89761
16.54	3580	22367.09258
16.53	4413.333333	22367.28754
16.52	5406.666667	22367.4825
16.51	6823.333333	22367.67746
16.5	8103.333333	22367.87242
16.49	9766.666667	22368.06737
16.48	11863.33333	22368.26231
16.47	13543.33333	22368.45726
16.46	15616.66667	22368.6522
16.45	18030	22368.84713
16.44	19770	22369.04206
16.43	21980	22369.23699
16.42	23660	22369.43192
16.41	26016.66667	22369.62684
16.4	27750	22369.82176
16.39	29436.66667	22370.01667
16.38	30786.66667	22370.21158
16.37	32776.66667	22370.40649
16.36	34223.33333	22370.60139
16.35	35696.66667	22370.79629
16.34	37003.33333	22370.99119
16.33	38320	22371.18608
16.32	39960	22371.38097
16.31	40700	22371.57585
16.3	41426.66667	22371.77073
16.29	43403.33333	22371.96561
16.28	44496.66667	22372.16049
16.27	45433.33333	22372.35536
16.26	45673.33333	22372.55022
16.25	47270	22372.74509
16.24	48356.66667	22372.93995
16.23	48700	22373.1348
16.22	49390	22373.32965
16.21	50790	22373.5245
16.2	52110	22373.71935
16.19	52486.66667	22373.91419
16.18	53073.33333	22374.10903
16.17	54006.66667	22374.30386
16.16	54693.33333	22374.49869
16.15	55450	22374.69352
16.14	55796.66667	22374.88834
16.13	56480	22375.08316
16.12	57453.33333	22375.27798
16.11	57620	22375.47279
16.1	58730	22375.6676
16.09	58873.33333	22375.8624
16.08	59716.66667	22376.0572
16.07	60323.33333	22376.252
16.06	60580	22376.44679
16.05	61563.33333	22376.64158
16.04	61636.66667	22376.83637
16.03	61526.66667	22377.03115
16.02	62536.66667	22377.22593
16.01	63416.66667	22377.42071
16	63953.33333	22377.61548
15.99	64350	22377.81025
15.98	64676.66667	22378.00501
15.97	65190	22378.19977
15.96	65033.33333	22378.39453
15.95	64996.66667	22378.58928
15.94	65423.33333	22378.78403
15.93	66710	22378.97878
15.92	66663.33333	22379.17352
15.91	66633.33333	22379.36826
15.9	67060	22379.563
15.89	67150	22379.75773
15.88	67570	22379.95246
15.87	68323.33333	22380.14718
15.86	69093.33333	22380.3419
15.85	68640	22380.53662
15.84	69180	22380.73133
15.83	69153.33333	22380.92604
15.82	69740	22381.12075
15.81	70296.66667	22381.31545
15.8	70140	22381.51015
15.79	70530	22381.70485
15.78	69783.33333	22381.89954
15.77	70123.33333	22382.09423
15.76	70200	22382.28891
15.75	71180	22382.48359
15.74	71780	22382.67827
15.73	71710	22382.87294
15.72	72460	22383.06761
15.71	71880	22383.26228
15.7	71576.66667	22383.45694
15.69	72096.66667	22383.6516
15.68	73120	22383.84625
15.67	72343.33333	22384.04091
15.66	71930	22384.23555
15.65	73226.66667	22384.4302
15.64	73993.33333	22384.62484
15.63	73390	22384.81947
15.62	73310	22385.01411
15.61	74306.66667	22385.20874
15.6	73750	22385.40336
15.59	74636.66667	22385.59799
15.58	74893.33333	22385.7926
15.57	74536.66667	22385.98722
15.56	75326.66667	22386.18183
15.55	75110	22386.37644
15.54	75273.33333	22386.57104
15.53	75256.66667	22386.76564
15.52	75216.66667	22386.96024
15.51	75970	22387.15483
15.5	76243.33333	22387.34942
15.49	75920	22387.54401
15.48	76473.33333	22387.73859
15.47	76440	22387.93317
15.46	77010	22388.12774
15.45	76283.33333	22388.32231
15.44	77103.33333	22388.51688
15.43	76803.33333	22388.71144
15.42	77260	22388.906
15.41	77173.33333	22389.10056
15.4	77320	22389.29511
15.39	77710	22389.48966
15.38	77170	22389.68421
15.37	77376.66667	22389.87875
15.36	77486.66667	22390.07329
15.35	76516.66667	22390.26782
15.34	77023.33333	22390.46235
15.33	77613.33333	22390.65688
15.32	77300	22390.8514
15.31	77693.33333	22391.04592
15.3	77146.66667	22391.24044
15.29	77943.33333	22391.43495
15.28	77853.33333	22391.62946
15.27	77926.66667	22391.82396
15.26	78043.33333	22392.01847
15.25	78593.33333	22392.21296
15.24	78140	22392.40746
15.23	78543.33333	22392.60195
15.22	78163.33333	22392.79644
15.21	78356.66667	22392.99092
15.2	77990	22393.1854
15.19	78763.33333	22393.37987
15.18	78106.66667	22393.57435
15.17	78533.33333	22393.76881
15.16	77756.66667	22393.96328
15.15	77246.66667	22394.15774
15.14	78213.33333	22394.3522
15.13	77493.33333	22394.54665
15.12	77850	22394.7411
15.11	77923.33333	22394.93555
15.1	78233.33333	22395.12999
15.09	78120	22395.32443
15.08	77770	22395.51887
15.07	77870	22395.7133
15.06	77713.33333	22395.90773
15.05	77536.66667	22396.10215
15.04	78190	22396.29657
15.03	77443.33333	22396.49099
15.02	77716.66667	22396.6854
15.01	78230	22396.87981
15	77156.66667	22397.07422
14.99	77176.66667	22397.26862
14.98	77323.33333	22397.46302
14.97	77570	22397.65742
14.96	77340	22397.85181
14.95	76726.66667	22398.0462
14.94	77346.66667	22398.24058
14.93	77256.66667	22398.43496
14.92	77790	22398.62934
14.91	78073.33333	22398.82371
14.9	77410	22399.01808
14.89	76833.33333	22399.21245
14.88	76766.66667	22399.40681
14.87	77190	22399.60117
14.86	76186.66667	22399.79552
14.85	76416.66667	22399.98987
14.84	77646.66667	22400.18422
14.83	77273.33333	22400.37856
14.82	76933.33333	22400.5729
14.81	76366.66667	22400.76724
14.8	76846.66667	22400.96157
14.79	76480	22401.1559
14.78	76860	22401.35023
14.77	76853.33333	22401.54455
14.76	76550	22401.73887
14.75	76193.33333	22401.93318
14.74	75823.33333	22402.12749
14.73	76240	22402.3218
14.72	76313.33333	22402.51611
14.71	77053.33333	22402.7104
14.7	76630	22402.9047
14.69	76726.66667	22403.09899
14.68	76103.33333	22403.29328
14.67	76160	22403.48757
14.66	75763.33333	22403.68185
14.65	76253.33333	22403.87613
14.64	76086.66667	22404.0704
14.63	75543.33333	22404.26467
14.62	76480	22404.45894
14.61	75853.33333	22404.6532
14.6	76240	22404.84746
14.59	76100	22405.04172
14.58	76330	22405.23597
14.57	75696.66667	22405.43022
14.56	75760	22405.62446
14.55	76073.33333	22405.8187
14.54	76156.66667	22406.01294
14.53	75513.33333	22406.20718
14.52	75093.33333	22406.40141
14.51	75696.66667	22406.59563
14.5	75283.33333	22406.78986
14.49	75083.33333	22406.98407
14.48	74946.66667	22407.17829
14.47	75360	22407.3725
14.46	74933.33333	22407.56671
14.45	74886.66667	22407.76091
14.44	74973.33333	22407.95511
14.43	74823.33333	22408.14931
14.42	74736.66667	22408.34351
