	XPS_UPS_18Jan2022/P3HT/BBL/grounded_Au_sub/1/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
17.13	589653.3333	22355.5832
17.12	609410	22355.77838
17.11	626036.6667	22355.97355
17.1	644576.6667	22356.16872
17.09	658490	22356.36389
17.08	671240	22356.55906
17.07	681440	22356.75422
17.06	692336.6667	22356.94938
17.05	702396.6667	22357.14453
17.04	712366.6667	22357.33968
17.03	718810	22357.53483
17.02	724683.3333	22357.72997
17.01	731876.6667	22357.92511
17	735053.3333	22358.12025
16.99	741026.6667	22358.31538
16.98	741666.6667	22358.51051
16.97	746990	22358.70563
16.96	750473.3333	22358.90076
16.95	752193.3333	22359.09587
16.94	752996.6667	22359.29099
16.93	753186.6667	22359.4861
16.92	754936.6667	22359.68121
16.91	757146.6667	22359.87631
16.9	758323.3333	22360.07141
16.89	757343.3333	22360.26651
16.88	755576.6667	22360.4616
16.87	755976.6667	22360.65669
16.86	754716.6667	22360.85177
16.85	751903.3333	22361.04685
16.84	750336.6667	22361.24193
16.83	748233.3333	22361.43701
16.82	747116.6667	22361.63208
16.81	743950	22361.82714
16.8	743850	22362.02221
16.79	741976.6667	22362.21727
16.78	741303.3333	22362.41232
16.77	737976.6667	22362.60737
16.76	737363.3333	22362.80242
16.75	732826.6667	22362.99747
16.74	730756.6667	22363.19251
16.73	728466.6667	22363.38755
16.72	727080	22363.58258
16.71	723986.6667	22363.77761
16.7	722770	22363.97264
16.69	717826.6667	22364.16766
16.68	716703.3333	22364.36268
16.67	709993.3333	22364.5577
16.66	709180	22364.75271
16.65	707886.6667	22364.94772
16.64	707483.3333	22365.14273
16.63	700753.3333	22365.33773
16.62	700313.3333	22365.53273
16.61	695860	22365.72772
16.6	694970	22365.92271
16.59	690410	22366.1177
16.58	687823.3333	22366.31268
16.57	687950	22366.50766
16.56	685680	22366.70264
16.55	679836.6667	22366.89761
16.54	678096.6667	22367.09258
16.53	674876.6667	22367.28754
16.52	671100	22367.4825
16.51	670300	22367.67746
16.5	666163.3333	22367.87242
16.49	664866.6667	22368.06737
16.48	662310	22368.26231
16.47	660170	22368.45726
16.46	654766.6667	22368.6522
16.45	655193.3333	22368.84713
16.44	650093.3333	22369.04206
16.43	648350	22369.23699
16.42	646976.6667	22369.43192
16.41	643660	22369.62684
16.4	641320	22369.82176
16.39	639660	22370.01667
16.38	634340	22370.21158
16.37	634843.3333	22370.40649
16.36	632100	22370.60139
16.35	629656.6667	22370.79629
16.34	627526.6667	22370.99119
16.33	622873.3333	22371.18608
16.32	622653.3333	22371.38097
16.31	619846.6667	22371.57585
16.3	617446.6667	22371.77073
16.29	614653.3333	22371.96561
16.28	612146.6667	22372.16049
16.27	610333.3333	22372.35536
16.26	608660	22372.55022
16.25	606503.3333	22372.74509
16.24	602756.6667	22372.93995
16.23	601313.3333	22373.1348
16.22	599626.6667	22373.32965
16.21	598893.3333	22373.5245
16.2	594946.6667	22373.71935
16.19	590153.3333	22373.91419
16.18	591000	22374.10903
16.17	587946.6667	22374.30386
16.16	582916.6667	22374.49869
16.15	582350	22374.69352
16.14	579646.6667	22374.88834
16.13	576130	22375.08316
16.12	574780	22375.27798
16.11	571966.6667	22375.47279
16.1	569786.6667	22375.6676
16.09	567783.3333	22375.8624
16.08	567596.6667	22376.0572
16.07	563376.6667	22376.252
16.06	561933.3333	22376.44679
16.05	558843.3333	22376.64158
16.04	556150	22376.83637
16.03	553206.6667	22377.03115
16.02	550576.6667	22377.22593
16.01	545680	22377.42071
16	543323.3333	22377.61548
15.99	541653.3333	22377.81025
15.98	540713.3333	22378.00501
15.97	538166.6667	22378.19977
15.96	534376.6667	22378.39453
15.95	530663.3333	22378.58928
15.94	530140	22378.78403
15.93	527430	22378.97878
15.92	520653.3333	22379.17352
15.91	521303.3333	22379.36826
15.9	518776.6667	22379.563
15.89	515483.3333	22379.75773
15.88	512926.6667	22379.95246
15.87	511453.3333	22380.14718
15.86	508720	22380.3419
15.85	506903.3333	22380.53662
15.84	502993.3333	22380.73133
15.83	499660	22380.92604
15.82	497433.3333	22381.12075
15.81	495053.3333	22381.31545
15.8	492893.3333	22381.51015
15.79	489043.3333	22381.70485
15.78	486756.6667	22381.89954
15.77	484300	22382.09423
15.76	480020	22382.28891
15.75	477683.3333	22382.48359
15.74	475170	22382.67827
15.73	473903.3333	22382.87294
15.72	469183.3333	22383.06761
15.71	466000	22383.26228
15.7	467043.3333	22383.45694
15.69	463973.3333	22383.6516
15.68	460460	22383.84625
15.67	456723.3333	22384.04091
15.66	454926.6667	22384.23555
15.65	452033.3333	22384.4302
15.64	450020	22384.62484
15.63	447320	22384.81947
15.62	444480	22385.01411
15.61	441780	22385.20874
15.6	439586.6667	22385.40336
15.59	436930	22385.59799
15.58	433030	22385.7926
15.57	430123.3333	22385.98722
15.56	429866.6667	22386.18183
15.55	427056.6667	22386.37644
15.54	424906.6667	22386.57104
15.53	421706.6667	22386.76564
15.52	420016.6667	22386.96024
15.51	417296.6667	22387.15483
15.5	415760	22387.34942
15.49	413530	22387.54401
15.48	409563.3333	22387.73859
15.47	406736.6667	22387.93317
15.46	408220	22388.12774
15.45	405493.3333	22388.32231
15.44	402163.3333	22388.51688
15.43	400430	22388.71144
15.42	397316.6667	22388.906
15.41	395883.3333	22389.10056
15.4	393193.3333	22389.29511
15.39	391736.6667	22389.48966
15.38	388913.3333	22389.68421
15.37	386643.3333	22389.87875
15.36	385063.3333	22390.07329
15.35	383446.6667	22390.26782
15.34	381273.3333	22390.46235
15.33	378880	22390.65688
15.32	377406.6667	22390.8514
15.31	375890	22391.04592
15.3	373856.6667	22391.24044
15.29	373556.6667	22391.43495
15.28	369396.6667	22391.62946
15.27	367770	22391.82396
15.26	367186.6667	22392.01847
15.25	364080	22392.21296
15.24	360923.3333	22392.40746
15.23	359130	22392.60195
15.22	357930	22392.79644
15.21	358436.6667	22392.99092
15.2	354866.6667	22393.1854
15.19	353840	22393.37987
15.18	350976.6667	22393.57435
15.17	348520	22393.76881
15.16	349623.3333	22393.96328
15.15	349366.6667	22394.15774
15.14	344976.6667	22394.3522
15.13	342993.3333	22394.54665
15.12	341673.3333	22394.7411
15.11	339816.6667	22394.93555
15.1	339383.3333	22395.12999
15.09	337950	22395.32443
15.08	336516.6667	22395.51887
15.07	334806.6667	22395.7133
15.06	333273.3333	22395.90773
15.05	330330	22396.10215
15.04	329160	22396.29657
15.03	328220	22396.49099
15.02	328190	22396.6854
15.01	326203.3333	22396.87981
15	322090	22397.07422
14.99	321653.3333	22397.26862
14.98	321710	22397.46302
14.97	321706.6667	22397.65742
14.96	320933.3333	22397.85181
14.95	318373.3333	22398.0462
14.94	315186.6667	22398.24058
14.93	314130	22398.43496
14.92	314276.6667	22398.62934
14.91	314743.3333	22398.82371
14.9	310940	22399.01808
14.89	308240	22399.21245
14.88	308630	22399.40681
14.87	308203.3333	22399.60117
14.86	307043.3333	22399.79552
14.85	304563.3333	22399.98987
14.84	303656.6667	22400.18422
14.83	302620	22400.37856
14.82	302183.3333	22400.5729
14.81	300393.3333	22400.76724
14.8	298960	22400.96157
14.79	295980	22401.1559
14.78	296166.6667	22401.35023
14.77	296080	22401.54455
14.76	294893.3333	22401.73887
14.75	293270	22401.93318
14.74	290490	22402.12749
14.73	290263.3333	22402.3218
14.72	289216.6667	22402.51611
14.71	288246.6667	22402.7104
14.7	287036.6667	22402.9047
14.69	285326.6667	22403.09899
14.68	284593.3333	22403.29328
14.67	283250	22403.48757
14.66	280823.3333	22403.68185
14.65	280206.6667	22403.87613
14.64	279886.6667	22404.0704
14.63	278936.6667	22404.26467
14.62	277713.3333	22404.45894
14.61	273993.3333	22404.6532
14.6	274436.6667	22404.84746
14.59	272863.3333	22405.04172
14.58	272476.6667	22405.23597
14.57	273340	22405.43022
14.56	269973.3333	22405.62446
14.55	269183.3333	22405.8187
14.54	267863.3333	22406.01294
14.53	265816.6667	22406.20718
14.52	267723.3333	22406.40141
14.51	264910	22406.59563
14.5	262133.3333	22406.78986
14.49	263200	22406.98407
14.48	262586.6667	22407.17829
14.47	259976.6667	22407.3725
14.46	258380	22407.56671
14.45	259056.6667	22407.76091
14.44	256013.3333	22407.95511
14.43	255063.3333	22408.14931
14.42	254136.6667	22408.34351
14.41	253630	22408.5377
14.4	253190	22408.73188
14.39	250340	22408.92606
14.38	249496.6667	22409.12024
14.37	247000	22409.31442
14.36	246746.6667	22409.50859
14.35	247416.6667	22409.70276
14.34	244560	22409.89692
14.33	243483.3333	22410.09108
14.32	242466.6667	22410.28524
14.31	241070	22410.47939
14.3	240193.3333	22410.67354
14.29	237966.6667	22410.86769
14.28	237336.6667	22411.06183
14.27	236626.6667	22411.25597
14.26	234056.6667	22411.4501
14.25	234730	22411.64423
14.24	233590	22411.83836
14.23	234190	22412.03248
14.22	231420	22412.2266
