	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
5.16	151373	22586.56954
5.14	151186	22586.95098
5.12	150647	22587.3324
5.1	150606	22587.71381
5.08	149890	22588.09521
5.06	149388	22588.47659
5.04	148522	22588.85795
5.02	148012	22589.2393
5	147099	22589.62063
4.98	146888	22590.00195
4.96	145579	22590.38325
4.94	144796	22590.76454
4.92	144472	22591.14581
4.9	143027	22591.52707
4.88	141891	22591.90831
4.86	140399	22592.28954
4.84	139726	22592.67075
4.82	138185	22593.05195
4.8	136808	22593.43313
4.78	135537	22593.8143
4.76	133893	22594.19545
4.74	131634	22594.57658
4.72	130502	22594.9577
4.7	128917	22595.33881
4.68	126657	22595.71989
4.66	124316	22596.10097
4.64	121802	22596.48203
4.62	119780	22596.86307
4.6	117641	22597.2441
4.58	115150	22597.62511
4.56	112611	22598.00611
4.54	109663	22598.38709
4.52	107553	22598.76806
4.5	104703	22599.14901
4.48	102893	22599.52995
4.46	100321	22599.91087
4.44	97193	22600.29177
4.42	93938	22600.67266
4.4	91619	22601.05354
4.38	88727	22601.4344
4.36	86777	22601.81524
4.34	83824	22602.19607
4.32	80942	22602.57689
4.3	78389	22602.95768
4.28	76398	22603.33847
4.26	73921	22603.71924
4.24	71492	22604.09999
4.22	69050	22604.48073
4.2	66891	22604.86145
4.18	65247	22605.24215
4.16	63147	22605.62285
4.14	61364	22606.00352
4.12	59974	22606.38418
4.1	58212	22606.76483
4.08	56627	22607.14546
4.06	54925	22607.52607
4.04	53721	22607.90667
4.02	52348	22608.28726
4	51068	22608.66782
3.98	49177	22609.04838
3.96	47703	22609.42892
3.94	46676	22609.80944
3.92	45321	22610.18995
3.9	44101	22610.57044
3.88	43035	22610.95092
3.86	42239	22611.33138
3.84	40877	22611.71182
3.82	40145	22612.09225
3.8	38959	22612.47267
3.78	37904	22612.85307
3.76	36769	22613.23345
3.74	35649	22613.61382
3.72	34762	22613.99418
3.7	34027	22614.37452
3.68	33034	22614.75484
3.66	32295	22615.13515
3.64	31652	22615.51544
3.62	30939	22615.89572
3.6	30266	22616.27598
3.58	29534	22616.65623
3.56	29228	22617.03646
3.54	28545	22617.41667
3.52	27876	22617.79687
3.5	27370	22618.17706
3.48	26915	22618.55723
3.46	26711	22618.93738
3.44	26270	22619.31752
3.42	26057	22619.69765
3.4	25605	22620.07776
3.38	25471	22620.45785
3.36	25291	22620.83793
3.34	25002	22621.21799
3.32	24872	22621.59804
3.3	24625	22621.97807
3.28	24794	22622.35808
3.26	24585	22622.73808
3.24	24610	22623.11807
3.22	24512	22623.49804
3.2	24660	22623.87799
3.18	24554	22624.25793
3.16	24403	22624.63786
3.14	24401	22625.01777
3.12	24378	22625.39766
3.1	24283	22625.77754
3.08	24400	22626.1574
3.06	24314	22626.53725
3.04	24173	22626.91708
3.02	24094	22627.2969
3	23807	22627.6767
2.98	23747	22628.05648
2.96	23607	22628.43625
2.94	23591	22628.81601
2.92	23473	22629.19575
2.9	23158	22629.57547
2.88	23106	22629.95518
2.86	22732	22630.33487
2.84	22633	22630.71455
2.82	22178	22631.09421
2.8	22047	22631.47386
2.78	21537	22631.85349
2.76	21457	22632.23311
2.74	21240	22632.61271
2.72	20681	22632.99229
2.7	20425	22633.37186
2.68	20123	22633.75142
2.66	19549	22634.13096
2.64	19273	22634.51048
2.62	19207	22634.88999
2.6	18734	22635.26948
2.58	18312	22635.64896
2.56	17968	22636.02842
2.54	17494	22636.40787
2.52	17374	22636.7873
2.5	17024	22637.16671
2.48	16606	22637.54612
2.46	16178	22637.9255
2.44	15824	22638.30487
2.42	15350	22638.68422
2.4	15170	22639.06356
2.38	14720	22639.44289
2.36	14212	22639.82219
2.34	13885	22640.20149
2.32	13594	22640.58076
2.3	13209	22640.96003
2.28	12758	22641.33927
2.26	12331	22641.7185
2.24	11900	22642.09772
2.22	11532	22642.47692
2.2	11009	22642.8561
2.18	10537	22643.23527
2.16	10090	22643.61442
2.14	9591	22643.99356
2.12	9072	22644.37269
2.1	8503	22644.75179
2.08	8156	22645.13088
2.06	7603	22645.50996
2.04	7135	22645.88902
2.02	6715	22646.26807
2	6295	22646.6471
1.98	5755	22647.02611
1.96	5394	22647.40511
1.94	4952	22647.78409
1.92	4597	22648.16306
1.9	4271	22648.54202
1.88	3919	22648.92095
1.86	3495	22649.29988
1.84	3280	22649.67878
1.82	2994	22650.05767
1.8	2734	22650.43655
1.78	2558	22650.81541
1.76	2311	22651.19425
1.74	2122	22651.57308
1.72	2040	22651.9519
1.7	1816	22652.33069
1.68	1753	22652.70948
1.66	1611	22653.08824
1.64	1493	22653.467
1.62	1411	22653.84573
1.6	1332	22654.22445
1.58	1263	22654.60316
1.56	1229	22654.98185
1.54	1139	22655.36052
1.52	1092	22655.73918
1.5	1034	22656.11783
1.48	988	22656.49645
1.46	977	22656.87507
1.44	930	22657.25366
1.42	894	22657.63224
1.4	813	22658.01081
1.38	815	22658.38936
1.36	826	22658.7679
1.34	801	22659.14642
1.32	755	22659.52492
1.3	686	22659.90341
1.28	699	22660.28188
1.26	705	22660.66034
1.24	679	22661.03878
1.22	663	22661.41721
1.2	683	22661.79562
1.18	633	22662.17402
1.16	620	22662.5524
1.14	632	22662.93076
1.12	582	22663.30911
1.1	603	22663.68744
1.08	586	22664.06576
1.06	612	22664.44407
1.04	537	22664.82235
1.02	531	22665.20062
1	621	22665.57888
0.98	586	22665.95712
0.96	513	22666.33535
0.94	487	22666.71356
0.92	512	22667.09175
0.9	504	22667.46993
0.88	502	22667.84809
0.86	459	22668.22624
0.84	448	22668.60437
0.82	463	22668.98249
0.8	471	22669.36059
0.78	451	22669.73868
0.76	458	22670.11675
0.74	456	22670.4948
0.72	442	22670.87284
0.7	368	22671.25086
0.68	434	22671.62887
0.66	422	22672.00686
0.64	405	22672.38484
