	XPS_UPS_18Jan2022/Au/Au/2: Sequence/Valence-HeI	
Binding energy (eV)	Counts per second	Trans Fn
4.38	159758	22601.4344
4.36	158819	22601.81524
4.34	157518	22602.19607
4.32	156700	22602.57689
4.3	155811	22602.95768
4.28	154283	22603.33847
4.26	153437	22603.71924
4.24	151568	22604.09999
4.22	149805	22604.48073
4.2	149278	22604.86145
4.18	147848	22605.24215
4.16	146280	22605.62285
4.14	145151	22606.00352
4.12	143558	22606.38418
4.1	142080	22606.76483
4.08	140653	22607.14546
4.06	139811	22607.52607
4.04	138476	22607.90667
4.02	137601	22608.28726
4	136754	22608.66782
3.98	135369	22609.04838
3.96	134398	22609.42892
3.94	133360	22609.80944
3.92	132439	22610.18995
3.9	131436	22610.57044
3.88	130073	22610.95092
3.86	128751	22611.33138
3.84	126674	22611.71182
3.82	125431	22612.09225
3.8	124311	22612.47267
3.78	123127	22612.85307
3.76	121733	22613.23345
3.74	120586	22613.61382
3.72	119430	22613.99418
3.7	118582	22614.37452
3.68	116828	22614.75484
3.66	116332	22615.13515
3.64	115347	22615.51544
3.62	114140	22615.89572
3.6	113603	22616.27598
3.58	112731	22616.65623
3.56	111947	22617.03646
3.54	111106	22617.41667
3.52	110087	22617.79687
3.5	109615	22618.17706
3.48	109207	22618.55723
3.46	108363	22618.93738
3.44	107751	22619.31752
3.42	106908	22619.69765
3.4	106634	22620.07776
3.38	105716	22620.45785
3.36	104872	22620.83793
3.34	104064	22621.21799
3.32	104255	22621.59804
3.3	103006	22621.97807
3.28	103010	22622.35808
3.26	102826	22622.73808
3.24	102604	22623.11807
3.22	102370	22623.49804
3.2	101251	22623.87799
3.18	101247	22624.25793
3.16	101050	22624.63786
3.14	100716	22625.01777
3.12	100412	22625.39766
3.1	99926	22625.77754
3.08	100086	22626.1574
3.06	99326	22626.53725
3.04	98658	22626.91708
3.02	98797	22627.2969
3	98647	22627.6767
2.98	98308	22628.05648
2.96	98125	22628.43625
2.94	97850	22628.81601
2.92	98333	22629.19575
2.9	98634	22629.57547
2.88	98236	22629.95518
2.86	98799	22630.33487
2.84	99076	22630.71455
2.82	99381	22631.09421
2.8	99613	22631.47386
2.78	99559	22631.85349
2.76	100473	22632.23311
2.74	100969	22632.61271
2.72	100891	22632.99229
2.7	100971	22633.37186
2.68	101220	22633.75142
2.66	100845	22634.13096
2.64	100755	22634.51048
2.62	99845	22634.88999
2.6	98479	22635.26948
2.58	96940	22635.64896
2.56	94806	22636.02842
2.54	92618	22636.40787
2.52	90058	22636.7873
2.5	87096	22637.16671
2.48	84241	22637.54612
2.46	80787	22637.9255
2.44	77015	22638.30487
2.42	73870	22638.68422
2.4	71053	22639.06356
2.38	67346	22639.44289
2.36	64251	22639.82219
2.34	61374	22640.20149
2.32	58143	22640.58076
2.3	55366	22640.96003
2.28	52393	22641.33927
2.26	49920	22641.7185
2.24	47382	22642.09772
2.22	45464	22642.47692
2.2	42745	22642.8561
2.18	40934	22643.23527
2.16	39091	22643.61442
2.14	37175	22643.99356
2.12	35796	22644.37269
2.1	34196	22644.75179
2.08	32843	22645.13088
2.06	31678	22645.50996
2.04	30407	22645.88902
2.02	29267	22646.26807
2	28099	22646.6471
1.98	27292	22647.02611
1.96	26413	22647.40511
1.94	25604	22647.78409
1.92	24672	22648.16306
1.9	23539	22648.54202
1.88	22959	22648.92095
1.86	22361	22649.29988
1.84	22088	22649.67878
1.82	21206	22650.05767
1.8	20619	22650.43655
1.78	20258	22650.81541
1.76	19566	22651.19425
1.74	19087	22651.57308
1.72	18592	22651.9519
1.7	18104	22652.33069
1.68	17655	22652.70948
1.66	17337	22653.08824
1.64	17067	22653.467
1.62	16568	22653.84573
1.6	16269	22654.22445
1.58	16154	22654.60316
1.56	15795	22654.98185
1.54	15581	22655.36052
1.52	15509	22655.73918
1.5	15184	22656.11783
1.48	14904	22656.49645
1.46	14853	22656.87507
1.44	14822	22657.25366
1.42	14474	22657.63224
1.4	14256	22658.01081
1.38	14197	22658.38936
1.36	14094	22658.7679
1.34	13878	22659.14642
1.32	13581	22659.52492
1.3	13661	22659.90341
1.28	13441	22660.28188
1.26	13399	22660.66034
1.24	13056	22661.03878
1.22	13028	22661.41721
1.2	12918	22661.79562
1.18	12740	22662.17402
1.16	12654	22662.5524
1.14	12472	22662.93076
1.12	12351	22663.30911
1.1	12529	22663.68744
1.08	12440	22664.06576
1.06	12080	22664.44407
1.04	11928	22664.82235
1.02	11779	22665.20062
1	12009	22665.57888
0.98	11891	22665.95712
0.96	11592	22666.33535
0.94	11478	22666.71356
0.92	11341	22667.09175
0.9	11175	22667.46993
0.88	11251	22667.84809
0.86	11036	22668.22624
0.84	11001	22668.60437
0.82	10966	22668.98249
0.8	10870	22669.36059
0.78	10775	22669.73868
0.76	10690	22670.11675
0.74	10524	22670.4948
0.72	10552	22670.87284
0.7	10472	22671.25086
0.68	10209	22671.62887
0.66	10305	22672.00686
0.64	10231	22672.38484
0.62	9979	22672.7628
0.6	9997	22673.14075
0.58	9893	22673.51868
0.56	9877	22673.89659
0.54	9645	22674.27449
0.52	9362	22674.65238
0.5	9392	22675.03024
0.48	9303	22675.4081
0.46	9196	22675.78593
0.44	9205	22676.16376
0.42	9039	22676.54156
0.4	8769	22676.91935
0.38	8650	22677.29713
0.36	8754	22677.67489
0.34	8638	22678.05263
0.32	8589	22678.43036
0.3	8367	22678.80807
0.28	8278	22679.18577
0.26	8178	22679.56345
0.24	8079	22679.94112
0.22	7964	22680.31877
0.2	7834	22680.6964
0.18	7695	22681.07402
0.16	7594	22681.45163
0.14	7516	22681.82921
0.12	7236	22682.20679
0.1	7053	22682.58434
0.08	6608	22682.96189
0.06	6053	22683.33941
0.04	5279	22683.71692
0.02	4478	22684.09442
0	3472	22684.4719
-0.02	2581	22684.84936
-0.04	1946	22685.22681
-0.06	1486	22685.60424
-0.08	1163	22685.98166
-0.1	982	22686.35906
-0.12	763	22686.73645
-0.14	683	22687.11382
-0.16	621	22687.49117
-0.18	592	22687.86851
-0.2	583	22688.24584
-0.22	535	22688.62314
-0.24	524	22689.00044
-0.26	503	22689.37771
-0.28	495	22689.75497
-0.3	499	22690.13222
-0.32	526	22690.50945
-0.34	488	22690.88667
-0.36	443	22691.26386
-0.38	445	22691.64105
-0.4	432	22692.01822
-0.42	432	22692.39537
-0.44	439	22692.77251
-0.46	415	22693.14963
-0.48	363	22693.52673
-0.5	383	22693.90382
-0.52	389	22694.2809
-0.54	382	22694.65796
-0.56	364	22695.035
-0.58	364	22695.41203
-0.6	368	22695.78904
-0.62	338	22696.16603
-0.64	336	22696.54302
-0.66	344	22696.91998
-0.68	354	22697.29693
-0.7	312	22697.67386
-0.72	322	22698.05078
-0.74	306	22698.42769
-0.76	299	22698.80457
-0.78	308	22699.18144
