	XPS_UPS_18Jan2022/BBL/Au/2/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
17.09	2446.666667	22356.36389
17.08	2583.333333	22356.55906
17.07	2666.666667	22356.75422
17.06	2580	22356.94938
17.05	2676.666667	22357.14453
17.04	2640	22357.33968
17.03	2793.333333	22357.53483
17.02	2696.666667	22357.72997
17.01	2776.666667	22357.92511
17	2760	22358.12025
16.99	2826.666667	22358.31538
16.98	3036.666667	22358.51051
16.97	2936.666667	22358.70563
16.96	3030	22358.90076
16.95	3060	22359.09587
16.94	3186.666667	22359.29099
16.93	3143.333333	22359.4861
16.92	3203.333333	22359.68121
16.91	3230	22359.87631
16.9	3263.333333	22360.07141
16.89	3483.333333	22360.26651
16.88	3693.333333	22360.4616
16.87	3690	22360.65669
16.86	3740	22360.85177
16.85	3883.333333	22361.04685
16.84	4290	22361.24193
16.83	4293.333333	22361.43701
16.82	4543.333333	22361.63208
16.81	4776.666667	22361.82714
16.8	5036.666667	22362.02221
16.79	5473.333333	22362.21727
16.78	5800	22362.41232
16.77	6233.333333	22362.60737
16.76	7086.666667	22362.80242
16.75	7780	22362.99747
16.74	9443.333333	22363.19251
16.73	12473.33333	22363.38755
16.72	17986.66667	22363.58258
16.71	26083.33333	22363.77761
16.7	36640	22363.97264
16.69	50020	22364.16766
16.68	63890	22364.36268
16.67	77416.66667	22364.5577
16.66	90363.33333	22364.75271
16.65	101906.6667	22364.94772
16.64	111960	22365.14273
16.63	122210	22365.33773
16.62	129430	22365.53273
16.61	136473.3333	22365.72772
16.6	142720	22365.92271
16.59	149460	22366.1177
16.58	154100	22366.31268
16.57	159406.6667	22366.50766
16.56	163343.3333	22366.70264
16.55	169980	22366.89761
16.54	172780	22367.09258
16.53	175450	22367.28754
16.52	178996.6667	22367.4825
16.51	182573.3333	22367.67746
16.5	186406.6667	22367.87242
16.49	190063.3333	22368.06737
16.48	192120	22368.26231
16.47	194096.6667	22368.45726
16.46	197226.6667	22368.6522
16.45	199620	22368.84713
16.44	202500	22369.04206
16.43	203580	22369.23699
16.42	204786.6667	22369.43192
16.41	208583.3333	22369.62684
16.4	209503.3333	22369.82176
16.39	211323.3333	22370.01667
16.38	211540	22370.21158
16.37	213286.6667	22370.40649
16.36	215040	22370.60139
16.35	216186.6667	22370.79629
16.34	216720	22370.99119
16.33	219170	22371.18608
16.32	220383.3333	22371.38097
16.31	221303.3333	22371.57585
16.3	222513.3333	22371.77073
16.29	222056.6667	22371.96561
