	XPS_UPS_18Jan2022/P3HT/Au/1/2: Sequence/Cut-Off	
Binding energy (eV)	Counts per second	Trans Fn
17.13	19780	22355.5832
17.12	22356.66667	22355.77838
17.11	26223.33333	22355.97355
17.1	32573.33333	22356.16872
17.09	44373.33333	22356.36389
17.08	62633.33333	22356.55906
17.07	88570	22356.75422
17.06	119533.3333	22356.94938
17.05	154973.3333	22357.14453
17.04	190286.6667	22357.33968
17.03	221843.3333	22357.53483
17.02	249670	22357.72997
17.01	276273.3333	22357.92511
17	299036.6667	22358.12025
16.99	318736.6667	22358.31538
16.98	337243.3333	22358.51051
16.97	353560	22358.70563
16.96	366750	22358.90076
16.95	381926.6667	22359.09587
16.94	394660	22359.29099
16.93	406690	22359.4861
16.92	416316.6667	22359.68121
16.91	427486.6667	22359.87631
16.9	436870	22360.07141
16.89	444110	22360.26651
16.88	452176.6667	22360.4616
16.87	460060	22360.65669
16.86	467090	22360.85177
16.85	471730	22361.04685
16.84	479093.3333	22361.24193
16.83	485283.3333	22361.43701
16.82	488130	22361.63208
16.81	490726.6667	22361.82714
16.8	499140	22362.02221
16.79	499836.6667	22362.21727
16.78	505206.6667	22362.41232
16.77	509053.3333	22362.60737
16.76	510980	22362.80242
16.75	513446.6667	22362.99747
16.74	516226.6667	22363.19251
16.73	518556.6667	22363.38755
16.72	518116.6667	22363.58258
16.71	518090	22363.77761
16.7	519160	22363.97264
16.69	519916.6667	22364.16766
16.68	522013.3333	22364.36268
16.67	517686.6667	22364.5577
16.66	519813.3333	22364.75271
16.65	520946.6667	22364.94772
16.64	522206.6667	22365.14273
16.63	522886.6667	22365.33773
16.62	520973.3333	22365.53273
16.61	519103.3333	22365.72772
16.6	518096.6667	22365.92271
16.59	519016.6667	22366.1177
16.58	517593.3333	22366.31268
16.57	518080	22366.50766
16.56	517746.6667	22366.70264
16.55	514500	22366.89761
16.54	514600	22367.09258
16.53	513216.6667	22367.28754
16.52	511000	22367.4825
16.51	510663.3333	22367.67746
16.5	507820	22367.87242
16.49	505890	22368.06737
16.48	504806.6667	22368.26231
16.47	504603.3333	22368.45726
16.46	503393.3333	22368.6522
16.45	502960	22368.84713
16.44	501863.3333	22369.04206
16.43	501563.3333	22369.23699
16.42	499176.6667	22369.43192
16.41	497583.3333	22369.62684
16.4	495473.3333	22369.82176
16.39	494970	22370.01667
16.38	493483.3333	22370.21158
16.37	492520	22370.40649
16.36	490173.3333	22370.60139
16.35	488700	22370.79629
16.34	487600	22370.99119
16.33	486040	22371.18608
16.32	485996.6667	22371.38097
16.31	483023.3333	22371.57585
16.3	483916.6667	22371.77073
16.29	483713.3333	22371.96561
16.28	481420	22372.16049
16.27	480040	22372.35536
16.26	479023.3333	22372.55022
16.25	477200	22372.74509
16.24	477630	22372.93995
16.23	473233.3333	22373.1348
16.22	472990	22373.32965
16.21	471976.6667	22373.5245
16.2	473983.3333	22373.71935
16.19	469443.3333	22373.91419
16.18	468803.3333	22374.10903
16.17	470213.3333	22374.30386
16.16	469243.3333	22374.49869
16.15	467420	22374.69352
16.14	465663.3333	22374.88834
16.13	463956.6667	22375.08316
16.12	463683.3333	22375.27798
16.11	463663.3333	22375.47279
16.1	461096.6667	22375.6676
16.09	460393.3333	22375.8624
16.08	459933.3333	22376.0572
16.07	458280	22376.252
16.06	455683.3333	22376.44679
16.05	456630	22376.64158
16.04	456340	22376.83637
16.03	454273.3333	22377.03115
16.02	452890	22377.22593
16.01	451043.3333	22377.42071
16	448503.3333	22377.61548
15.99	449833.3333	22377.81025
15.98	448193.3333	22378.00501
15.97	447393.3333	22378.19977
15.96	445583.3333	22378.39453
15.95	444506.6667	22378.58928
15.94	443256.6667	22378.78403
15.93	443083.3333	22378.97878
15.92	440613.3333	22379.17352
15.91	440663.3333	22379.36826
15.9	438393.3333	22379.563
15.89	436873.3333	22379.75773
15.88	435880	22379.95246
15.87	434416.6667	22380.14718
15.86	433320	22380.3419
15.85	432050	22380.53662
15.84	430003.3333	22380.73133
15.83	429633.3333	22380.92604
15.82	427680	22381.12075
15.81	426663.3333	22381.31545
15.8	424993.3333	22381.51015
15.79	422256.6667	22381.70485
15.78	421720	22381.89954
15.77	419333.3333	22382.09423
15.76	418656.6667	22382.28891
15.75	417240	22382.48359
15.74	417023.3333	22382.67827
15.73	415800	22382.87294
15.72	413793.3333	22383.06761
15.71	410416.6667	22383.26228
15.7	409510	22383.45694
15.69	410350	22383.6516
15.68	408753.3333	22383.84625
15.67	407423.3333	22384.04091
15.66	408456.6667	22384.23555
15.65	403973.3333	22384.4302
15.64	399670	22384.62484
15.63	399823.3333	22384.81947
15.62	398800	22385.01411
15.61	396833.3333	22385.20874
15.6	396103.3333	22385.40336
15.59	392823.3333	22385.59799
15.58	391473.3333	22385.7926
15.57	389720	22385.98722
15.56	389290	22386.18183
15.55	386950	22386.37644
15.54	384856.6667	22386.57104
15.53	384003.3333	22386.76564
15.52	383236.6667	22386.96024
15.51	380043.3333	22387.15483
15.5	377280	22387.34942
15.49	377056.6667	22387.54401
15.48	375900	22387.73859
15.47	372893.3333	22387.93317
15.46	373283.3333	22388.12774
15.45	371483.3333	22388.32231
15.44	369070	22388.51688
15.43	367243.3333	22388.71144
15.42	364896.6667	22388.906
15.41	364026.6667	22389.10056
15.4	363246.6667	22389.29511
15.39	360113.3333	22389.48966
15.38	358503.3333	22389.68421
15.37	356636.6667	22389.87875
15.36	355783.3333	22390.07329
15.35	354243.3333	22390.26782
15.34	352030	22390.46235
15.33	349686.6667	22390.65688
15.32	349446.6667	22390.8514
15.31	347956.6667	22391.04592
15.3	345696.6667	22391.24044
15.29	344140	22391.43495
15.28	343363.3333	22391.62946
15.27	339946.6667	22391.82396
15.26	339510	22392.01847
15.25	337406.6667	22392.21296
15.24	337016.6667	22392.40746
15.23	336823.3333	22392.60195
15.22	335213.3333	22392.79644
15.21	331310	22392.99092
15.2	328973.3333	22393.1854
15.19	328320	22393.37987
15.18	326893.3333	22393.57435
15.17	325280	22393.76881
15.16	326220	22393.96328
15.15	323293.3333	22394.15774
15.14	323163.3333	22394.3522
15.13	318673.3333	22394.54665
15.12	317983.3333	22394.7411
15.11	318233.3333	22394.93555
15.1	315926.6667	22395.12999
15.09	315236.6667	22395.32443
15.08	313203.3333	22395.51887
15.07	312316.6667	22395.7133
15.06	310540	22395.90773
15.05	309090	22396.10215
15.04	306873.3333	22396.29657
15.03	304863.3333	22396.49099
15.02	305700	22396.6854
15.01	304226.6667	22396.87981
15	303486.6667	22397.07422
14.99	301800	22397.26862
14.98	300346.6667	22397.46302
14.97	297873.3333	22397.65742
14.96	297583.3333	22397.85181
14.95	295963.3333	22398.0462
14.94	294573.3333	22398.24058
14.93	292683.3333	22398.43496
14.92	291306.6667	22398.62934
14.91	290546.6667	22398.82371
14.9	289840	22399.01808
14.89	290160	22399.21245
14.88	287966.6667	22399.40681
14.87	287900	22399.60117
14.86	285943.3333	22399.79552
14.85	283273.3333	22399.98987
14.84	282293.3333	22400.18422
14.83	281416.6667	22400.37856
14.82	279070	22400.5729
14.81	278650	22400.76724
14.8	278553.3333	22400.96157
14.79	277453.3333	22401.1559
14.78	275766.6667	22401.35023
14.77	273800	22401.54455
14.76	273170	22401.73887
14.75	272966.6667	22401.93318
14.74	270606.6667	22402.12749
14.73	271190	22402.3218
14.72	269656.6667	22402.51611
14.71	268993.3333	22402.7104
14.7	268336.6667	22402.9047
14.69	267606.6667	22403.09899
14.68	266003.3333	22403.29328
14.67	265960	22403.48757
14.66	263773.3333	22403.68185
14.65	263386.6667	22403.87613
14.64	261700	22404.0704
14.63	260056.6667	22404.26467
14.62	259030	22404.45894
14.61	257513.3333	22404.6532
14.6	257540	22404.84746
14.59	257226.6667	22405.04172
14.58	255733.3333	22405.23597
14.57	254080	22405.43022
14.56	254836.6667	22405.62446
14.55	253583.3333	22405.8187
14.54	252270	22406.01294
14.53	251486.6667	22406.20718
14.52	250916.6667	22406.40141
14.51	248850	22406.59563
14.5	247160	22406.78986
14.49	247653.3333	22406.98407
14.48	246526.6667	22407.17829
14.47	246776.6667	22407.3725
14.46	244640	22407.56671
14.45	242456.6667	22407.76091
14.44	242563.3333	22407.95511
14.43	241196.6667	22408.14931
